Date,High,Low,Close,Open,Volume
19/6/2018,542.35,516.31,537.96,519.02,1726570000
18/6/2018,521.8,494.07,518.89,499.38,1513870000
17/6/2018,507.64,498.65,500.45,499.46,1264870000
16/6/2018,503.22,488.85,499.64,490.41,1314110000
15/6/2018,521.31,487.47,491,520.48,1808270000
14/6/2018,523.55,467.47,519.74,478.38,2458650000
13/6/2018,501.91,459,477.49,498.02,2080130000
12/6/2018,538.96,491.24,496.84,532.71,1932760000
11/6/2018,536.86,515.27,533.28,524.86,1982120000
10/6/2018,594.35,511.89,526.48,594.35,2234880000
9/6/2018,608.58,597.56,597.56,600.91,1519310000
8/6/2018,608.81,595.59,601.08,605.44,1637780000
7/6/2018,616.14,601.69,605.19,607.69,1880140000
6/6/2018,611.64,596.4,607.12,610.26,1756530000
5/6/2018,611.33,580.98,609.3,593.41,1844270000
4/6/2018,623.43,583.75,592.99,619.44,1903430000
3/6/2018,624.51,591.26,618.33,591.26,1832550000
2/6/2018,597.08,577.32,591.81,580.43,1880390000
1/6/2018,589.09,567.67,580.04,578.67,1945890000
31/5/2018,585.54,557.07,577.65,558.5,1985040000
30/5/2018,583.14,545.43,559.59,566.83,2053970000
29/5/2018,572.26,516.15,565.39,516.15,2330820000
28/5/2018,576.05,512.55,516.04,573.05,2356900000
27/5/2018,590.33,562.87,572.67,588.52,1788790000
26/5/2018,606.18,583.51,587.28,587.43,1694300000
25/5/2018,617.19,575.62,586.73,602.14,2110920000
24/5/2018,610.82,557.21,601.76,584.54,2791100000
23/5/2018,651.64,572.95,583.59,646.67,2995430000
22/5/2018,700.98,644.03,647.74,700.18,2230470000
21/5/2018,719.28,692.49,699.22,717.19,2005170000
20/5/2018,723.75,692.67,715.37,697.92,2156910000
19/5/2018,715.58,686.79,696.53,695.07,2021550000
18/5/2018,695.03,663.81,694.37,672.1,2305740000
17/5/2018,718.83,668.83,672.66,708.72,2350620000
16/5/2018,710.2,682.54,707.05,708.09,2476130000
15/5/2018,739.05,701,708.87,731.14,2523070000
14/5/2018,742.17,695.79,730.55,732.73,3005110000
13/5/2018,741.31,675.32,733.5,687.18,2362500000
12/5/2018,691.41,644.07,686.05,679.88,2668480000
11/5/2018,736.98,669.83,679.59,727.01,3290080000
10/5/2018,766.75,726.66,727.28,752.58,2748950000
9/5/2018,759.53,718.47,752.28,752.9,2877870000
8/5/2018,774.25,728.13,752.86,755.01,2920490000
7/5/2018,795.76,710.18,753.73,793.34,4316120000
6/5/2018,835.06,764.88,792.31,816.09,3105570000
5/5/2018,827.46,784.24,816.12,784.58,3035040000
4/5/2018,803.75,762.63,785.62,776.78,3533410000
3/5/2018,784.34,686.59,779.54,686.59,4210940000
2/5/2018,688.84,667.42,687.15,674.08,2822270000
1/5/2018,674.4,637.54,673.61,670.46,2678960000
30/4/2018,694.44,666.12,669.92,689.76,2853100000
29/4/2018,697.76,670.51,688.88,683.91,2740560000
28/4/2018,691.44,644.65,683.68,644.65,2496660000
27/4/2018,684.87,647.03,647.03,662.11,2598130000
26/4/2018,663.18,604.01,662.81,618.08,2984010000
25/4/2018,707.06,600.21,615.42,707.06,4216140000
24/4/2018,708.88,643.4,708.16,643.4,3581860000
23/4/2018,646.7,621.04,642.55,621.2,2386830000
22/4/2018,640.77,593.87,621.86,606.12,2426270000
21/4/2018,621.89,578.55,605.4,616,2612460000
20/4/2018,618.72,560.28,615.72,567.99,2849470000
19/4/2018,567.89,523.26,567.89,524.04,2256870000
18/4/2018,525.09,503.05,524.79,503.31,1762940000
17/4/2018,518.03,502.56,502.89,511.15,1760360000
16/4/2018,534.2,500.25,511.15,532.07,1758980000
15/4/2018,531.7,502.88,531.7,502.88,1726090000
14/4/2018,512.02,488.28,501.48,492.58,1519080000
13/4/2018,526.47,482.66,492.74,493.16,2419250000
12/4/2018,493.06,417.41,492.94,430.16,2519360000
11/4/2018,430.54,412.47,430.54,415.02,1439040000
10/4/2018,415.89,393.88,414.24,399.41,1196000000
9/4/2018,429.25,390.61,398.53,400.86,1478390000
8/4/2018,402.59,385.6,400.51,385.74,948488000
7/4/2018,393.06,369.94,385.31,370.38,951475000
6/4/2018,385.2,366.91,370.29,382.73,967106000
5/4/2018,387.72,369.82,383.23,379.95,1210680000
4/4/2018,417.47,375.31,380.54,416.49,1287730000
3/4/2018,418.97,383.53,416.89,387.31,1363400000
2/4/2018,395.17,377.59,386.43,379.7,1102260000
1/4/2018,400.53,363.81,379.61,397.25,1256930000
31/3/2018,418.47,392.95,396.46,395,1323920000
30/3/2018,409.93,368.63,394.65,385.91,1878130000
29/3/2018,450.81,385.81,385.97,448.08,1970230000
28/3/2018,466.21,444.86,446.28,450.29,1514180000
27/3/2018,491.46,449.97,450.12,489.59,1617940000
26/3/2018,526.38,470.44,489.95,524.29,1638880000
25/3/2018,535.82,515.66,524.29,522.7,1151170000
24/3/2018,545.38,526.08,526.44,542.57,1300010000
23/3/2018,540.49,512.13,539.62,539.86,1596350000
22/3/2018,577.57,523.09,539.7,562.1,1523460000
21/3/2018,589.61,550.57,561.73,559.1,1781270000
20/3/2018,567.09,521.2,557.18,556.72,1833680000
19/3/2018,558.1,519.12,556.73,546.63,2046790000
18/3/2018,551.64,460.09,538.64,551.64,2685500000
17/3/2018,609.15,549.1,552.78,601.68,1267810000
16/3/2018,623.17,587.86,601.67,611.78,1417350000
15/3/2018,620.62,579.51,611.3,614.84,1770460000
14/3/2018,702.78,594.1,614.29,691.22,1810560000
13/3/2018,713.74,682.35,690.83,698.15,1425960000
12/3/2018,742.51,683.27,699.83,724.41,1765000000
11/3/2018,735.83,668.12,723.34,685.31,1562680000
10/3/2018,748.03,682.7,686.89,730.16,1532960000
9/3/2018,729.16,648.11,728.92,702.2,2233020000
8/3/2018,773.77,696.17,704.6,752.57,1891640000
7/3/2018,825.61,726.55,752.83,816.27,2175420000
6/3/2018,853.82,809.93,816.95,853.82,1943070000
5/3/2018,869.92,853.52,853.68,866.85,1898490000
4/3/2018,867.95,840.28,866.68,856.19,1697940000
3/3/2018,868.45,855.21,857.23,856.71,1699370000
2/3/2018,876.38,852.42,856.85,871.76,1894420000
1/3/2018,880.3,851.92,872.2,856.01,1868520000
28/2/2018,890.11,855.12,855.2,877.93,1963980000
27/2/2018,896.26,867.1,878.27,870.37,2053980000
26/2/2018,880.39,842.32,869.32,845.28,2044480000
25/2/2018,853.15,822.38,844.81,839.46,1646960000
24/2/2018,879.53,818.55,840.52,861.59,1926580000
23/2/2018,886.32,794.79,864.19,811.59,2334820000
22/2/2018,875.93,802.67,812.85,849.26,2150370000
21/2/2018,912.38,830.56,849.97,894.14,2531730000
20/2/2018,965.27,892.95,895.37,943.57,2545260000
19/2/2018,957.78,921.55,943.87,921.67,2169020000
18/2/2018,982.93,915.45,923.92,973.35,2567290000
17/2/2018,976.6,940.75,974.12,944.75,2525720000
16/2/2018,950.01,917.85,944.21,934.79,2369450000
15/2/2018,951.95,911.11,936.98,923.73,2900100000
14/2/2018,926.43,844.28,923.56,844.28,2818370000
13/2/2018,870.71,828.84,845.26,869.29,2081170000
12/2/2018,875.94,817.51,868.71,817.51,2243450000
11/2/2018,859.29,788.22,814.66,859.29,2486650000
10/2/2018,917.4,825.58,860.42,882.47,2930530000
9/2/2018,884,788.83,883.87,818.48,2495820000
8/2/2018,845.09,755.84,817.81,755.84,3708190000
7/2/2018,851.2,723.43,757.07,790.43,3896180000
6/2/2018,796.44,574.42,793.12,707.74,6518270000
5/2/2018,856.65,644.6,697.95,834.96,4269530000
4/2/2018,969.03,805.06,834.68,964.67,2997090000
3/2/2018,991.94,847.69,964.02,919.21,3243480000
2/2/2018,1035.77,757.98,915.79,1035.77,6713290000
1/2/2018,1161.35,984.82,1036.79,1119.37,5261680000
31/1/2018,1128.66,1034.5,1118.31,1071.09,3757560000
30/1/2018,1184.63,1058.97,1071.13,1184.13,4107860000
29/1/2018,1256.7,1169.08,1182.36,1246.7,3715080000
28/1/2018,1257.77,1111.78,1246.01,1111.78,5372330000
27/1/2018,1121.98,1042.12,1107.07,1055.75,3002870000
26/1/2018,1080.6,996.78,1055.17,1052.7,3617690000
25/1/2018,1104.66,1034.74,1056.03,1063.22,4050190000
24/1/2018,1062.44,965.81,1058.78,987.48,3944040000
23/1/2018,1023.23,920.54,986.23,1004.17,3556700000
22/1/2018,1089.1,930.74,1003.26,1055.35,3810100000
21/1/2018,1155.68,1021.5,1049.58,1155.68,3378090000
20/1/2018,1167.11,1044.95,1155.15,1044.95,3975190000
